"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,"Attribution setting","Post engagements"
2023-03-08,2026-04-08,"February Engagement 2025",inactive,52220,actions:post_engagement,0.57446898,"Using ad set budget",0,29998.77,223957,161484,2025-03-02,"7-day click or 1-day view",52220
2023-03-08,2026-04-08,"March Awareness 2025",inactive,938978,reach,95.84705925,"Using ad set budget",0,89998.28,2180843,938978,2025-04-02,"7-day click or 1-day view",1469
2023-03-08,2026-04-08,"March Engagement 2025",inactive,10115,actions:post_engagement,1.95599011,"Using ad set budget",0,19784.84,137169,98156,2025-03-26,"7-day click or 1-day view",10115
2023-03-08,2026-04-08,"April Awareness 2025",inactive,,,,"Using ad set budget",0,1629964.24,11001746,4620222,2025-05-02,"7-day click or 1-day view",2966184
2023-03-08,2026-04-08,"May Engagement 2025",inactive,5471,actions:post_engagement,1.82702979,"Using ad set budget",0,9995.68,69292,54179,2025-05-13,"7-day click or 1-day view",5471
2023-03-08,2026-04-08,"May Awareness 2025",inactive,1123810,reach,80.0099483,"Using ad set budget",0,89915.98,2864035,1123810,2025-05-26,"7-day click or 1-day view",25625
2023-03-08,2026-04-08,"June Awareness 2025",not_delivering,,,,"Using ad set budget",0,448078.72,6789261,2879086,2025-06-18,"7-day click or 1-day view",2266567
2023-03-08,2026-04-08,CBL_Tiara_Rasa_Hara_Yathra_Awareness_Video_06Jul2025,inactive,322546,reach,33.80181431,70000,Lifetime,10902.64,332832,322546,2025-07-10,"7-day click or 1-day view",18341
2023-03-08,2026-04-08,CBL_Tiara_Rasa_Hara_Yathra_Engagement_Video_06Jul2025,inactive,30242,actions:post_engagement,0.17363468,30000,Lifetime,5251.06,67423,62418,2025-07-10,"7-day click or 1-day view",30242
2023-03-08,2026-04-08,CBL_Tiara_Rasa_Hara_Yathra_Thalavila_Feast_Awareness_Static_Teaser_01Aug2025,inactive,622656,reach,44.62786836,"Using ad set budget",0,27787.81,790711,622656,2025-08-03,"7-day click or 1-day view",1009
2023-03-08,2026-04-08,CBL_Tiara_Rasa_Hara_Yathra_Thalavila_Feast_Awareness_Photo_Album_01Aug2025,completed,966297,reach,41.21086995,"Using ad set budget",0,39821.94,1124893,966297,2025-08-06,"7-day click or 1-day view",1959
2023-03-08,2026-04-08,CBL_Tiara_Rasa_Hara_Yathra_Thalavila_Feast_GEO_Awareness_Photo_Album_01Aug2025,completed,448728,reach,44.33928794,20000,Lifetime,19896.28,588042,448728,2025-08-06,"7-day click or 1-day view",1084
2023-03-08,2026-04-08,CBL_Tiara_Rasa_Hara_Yathra_Thalavila_Feast_Awareness_Video_03Aug2025,completed,2869049,reach,52.28213251,150000,Lifetime,150000,3444047,2869049,2025-08-07,"7-day click or 1-day view",335305
2023-03-08,2026-04-08,CBL_Tiara_Rasa_Hara_Yathra_Thalavila_Feast_GEO_Awareness_Video_03Aug2025,completed,858327,reach,58.24120644,50000,Lifetime,49990,1261596,858327,2025-08-07,"7-day click or 1-day view",93782
2023-03-08,2026-04-08,CBL_Tiara_Rasa_Hara_Yathra_Kandy_Perahera_Engagement_Call_Static_05Aug2025,inactive,860,actions:click_to_call_native_call_placed,168.39676744,150000,Lifetime,144821.22,1022456,514878,2025-08-07,"7-day click or 1-day view",12846
2023-03-08,2026-04-08,CBL_Tiara_Rasa_Hara_Yathra_Kandy_Perahera_Awareness_Static_05Aug2025,inactive,4166806,reach,57.11288455,250000,Lifetime,237978.31,4462869,4166806,2025-08-07,"7-day click or 1-day view",10119
