"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,1943,actions:post_engagement,7.72002059,15000,Lifetime,15000,107357,84312,2023-04-03,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"New Engagement ad set"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,2269,actions:offsite_conversion.fb_pixel_view_content,8.81445571,20000,Lifetime,20000,277556,161115,2023-04-19,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Week 3"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,2069,actions:offsite_conversion.fb_pixel_view_content,9.66650556,20000,Lifetime,20000,236660,127086,2023-04-26,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Week 4"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,1029,actions:offsite_conversion.fb_pixel_view_content,14.57725948,15000,Lifetime,15000,177957,117641,2023-04-04,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,Week1
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,1127,actions:offsite_conversion.fb_pixel_view_content,13.30967169,15000,Lifetime,15000,154324,100777,2023-04-11,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Week 2"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,1127,actions:offsite_conversion.fb_pixel_view_content,13.30967169,15000,Lifetime,15000,183494,118579,2023-04-18,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Week 3"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,1162,actions:offsite_conversion.fb_pixel_view_content,12.90877797,15000,Lifetime,15000,173312,115807,2023-04-25,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Week 4"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,607,actions:offsite_conversion.fb_pixel_view_content,16.47446458,10000,Lifetime,10000,100956,66838,2023-04-09,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Week 1"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,609,actions:offsite_conversion.fb_pixel_view_content,16.42036125,10000,Lifetime,10000,128074,95361,2023-04-16,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Week 2"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,627,actions:offsite_conversion.fb_pixel_view_content,15.94896332,10000,Lifetime,10000,111740,77163,2023-04-23,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Week 3"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,560,actions:offsite_conversion.fb_pixel_view_content,17.85714286,10000,Lifetime,10000,115295,82043,2023-04-30,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Week 4"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,1729,actions:offsite_conversion.fb_pixel_view_content,11.56737999,20000,Lifetime,20000,231285,143767,2023-04-05,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"New Engagement ad set"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,2080,actions:offsite_conversion.fb_pixel_view_content,9.61538462,20000,Lifetime,20000,241263,130159,2023-04-12,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Week 2"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,1878,actions:post_engagement,7.98722045,15000,Lifetime,15000,56605,34753,2023-04-09,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Week 1"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,1913,actions:post_engagement,7.8410873,15000,Lifetime,15000,81662,47490,2023-04-16,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Week 2"
