"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name"
2025-09-19,2026-04-07,"Engagement | Teddy | December | FB | I",inactive,795,actions:post_engagement,2.7587673,20000,Lifetime,2193.22,10989,9888,2026-02-07,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-01-04T21:14:23-0800,-,-,-,"Engagement | Teddy | December | FB"
2025-09-19,2026-04-07,"Engagement | Teddy | December | FB | II",inactive,729,actions:post_engagement,2.8240192,20000,Lifetime,2058.71,6599,5653,2026-02-07,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-01-04T21:14:23-0800,-,-,-,"Engagement | Teddy | December | FB"
2025-09-19,2026-04-07,"Engagement | Teddy | December | IG| II",inactive,632,actions:post_engagement,3.95830696,10000,Lifetime,2501.65,5177,3627,2026-02-07,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-01-04T21:13:31-0800,-,-,-,"Engagement | Teddy | December | IG"
2025-09-19,2026-04-07,"Engagement | Teddy | December | IG | I",inactive,719,actions:post_engagement,3.50130737,10000,Lifetime,2517.44,5835,4202,2026-02-07,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-01-04T21:13:31-0800,-,-,-,"Engagement | Teddy | December | IG"
2025-09-19,2026-04-07,"Engagement | Teddy | September | Launch | Static",not_delivering,3,actions:post_engagement,3.94,20625,Lifetime,11.82,23,22,2025-10-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-09-22T20:42:30-0700,-,-,-,"Engagement | Teddy | September | Launch"
2025-09-19,2026-04-07,"Engagement | Teddy | September | Launch | Video | FB",inactive,44653,actions:post_engagement,0.20535462,20625,Lifetime,9169.7,103279,59941,2025-10-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-09-22T20:42:30-0700,-,-,-,"Engagement | Teddy | September | Launch"
2025-09-19,2026-04-07,"Video Views | Teddy | 2026 | January | IG | I",not_delivering,38418,video_thruplay_watched_actions,0.39939273,22000,Lifetime,15343.87,102001,84403,2026-03-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-10T23:36:39-0800,Average,"Below average – bottom 35% of ads",Average,"Video Views | Teddy | 2026 | January"
2025-09-19,2026-04-07,"Video Views | Teddy  | February | FB | I",not_delivering,9962,video_thruplay_watched_actions,0.67088035,7000,Lifetime,6683.31,13355,9187,2026-02-21,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-17T19:41:07-0800,-,-,-,"Video Views | Teddy  | February | Valentine"
2025-09-19,2026-04-07,"Video Views | Teddy  | February | IG | I",not_delivering,473,video_thruplay_watched_actions,0.6615222,7000,Lifetime,312.9,764,657,2026-02-21,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-17T19:41:07-0800,-,-,-,"Video Views | Teddy  | February | Valentine"
2025-09-19,2026-04-07,"Video Views | Teddy | 2026 | January | FB | II",not_delivering,834,video_thruplay_watched_actions,0.56767386,22000,Lifetime,473.44,1718,1677,2026-03-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-10T23:36:39-0800,-,-,-,"Video Views | Teddy | 2026 | January"
2025-09-19,2026-04-07,"Video Views | Teddy | 2026 | January | IG | II",not_delivering,19,video_thruplay_watched_actions,0.54947368,22000,Lifetime,10.44,47,45,2026-03-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-10T23:36:39-0800,-,-,-,"Video Views | Teddy | 2026 | January"
