"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,Views,"Post engagements","Link clicks",Starts
2023-04-11,2026-04-09,"October 2024 Engagement",not_delivering,22899,actions:post_engagement,4.96327045,"Using ad set budget",0,113653.93,296570,133589,2024-10-18,297074,22899,9,2024-10-04
2023-04-11,2026-04-09,"November 2024 awareness",inactive,382296,reach,52.31548329,"Using ad set budget",0,20000,521202,382296,2024-11-26,523472,327,6,2024-11-07
2023-04-11,2026-04-09,"November 2024 Engagement",not_delivering,2194,actions:post_engagement,4.55682771,"Using ad set budget",0,9997.68,30029,25959,2024-11-14,30113,2194,1,2024-11-13
2023-04-11,2026-04-09,"December engagement 2024",inactive,644158,actions:post_engagement,0.48065309,"Using ad set budget",0,309616.53,2427509,1011474,2024-12-29,2406677,644158,20,2024-12-02
2023-04-11,2026-04-09,"December Awareness 2024",not_delivering,,,,"Using ad set budget",0,440447.38,6688764,1864830,2025-01-07,6712703,557934,112,2024-12-02
2023-04-11,2026-04-09,"January Awareness 2025",inactive,850537,reach,79.9489499,"Using ad set budget",0,67999.54,2015948,850537,2025-01-31,2013190,18063,3,2025-01-14
2023-04-11,2026-04-09,"January Engagement 2025",inactive,48905,actions:post_engagement,0.44982578,"Using ad set budget",0,21998.73,239837,165760,2025-01-25,265415,48905,14,2025-01-15
2023-04-11,2026-04-09,"February Awareness 2025",inactive,,,,"Using ad set budget",0,1759999.07,15944230,5057667,2025-04-10,16058282,4328187,47,2025-02-04
2023-04-11,2026-04-09,"February Engagement 2025",inactive,52220,actions:post_engagement,0.57446898,"Using ad set budget",0,29998.77,223957,161484,2025-03-02,235184,52220,4,2025-02-13
2023-04-11,2026-04-09,"March Awareness 2025",inactive,938978,reach,95.84705925,"Using ad set budget",0,89998.28,2180843,938978,2025-04-02,2196137,1469,7,2025-03-04
2023-04-11,2026-04-09,"March Engagement 2025",inactive,10115,actions:post_engagement,1.95599011,"Using ad set budget",0,19784.84,137169,98156,2025-03-26,137691,10115,6,2025-03-19
2023-04-11,2026-04-09,"April Awareness 2025",inactive,,,,"Using ad set budget",0,1629964.24,11001746,4620222,2025-05-02,11247571,2966184,81,2025-04-03
2023-04-11,2026-04-09,"May Engagement 2025",inactive,5471,actions:post_engagement,1.82702979,"Using ad set budget",0,9995.68,69292,54179,2025-05-13,69777,5471,7,2025-05-08
2023-04-11,2026-04-09,"May Awareness 2025",inactive,1123810,reach,80.0099483,"Using ad set budget",0,89915.98,2864035,1123810,2025-05-26,2895685,25625,12,2025-05-08
2023-04-11,2026-04-09,"June Awareness 2025",not_delivering,,,,"Using ad set budget",0,448078.72,6789261,2879086,2025-06-18,6865337,2266567,76,2025-06-08
2023-04-11,2026-04-09,CBL_Tiara_Rasa_Hara_Yathra_Awareness_Video_06Jul2025,inactive,322546,reach,33.80181431,70000,Lifetime,10902.64,332832,322546,2025-07-10,262122,18341,,2025-07-06
2023-04-11,2026-04-09,CBL_Tiara_Rasa_Hara_Yathra_Engagement_Video_06Jul2025,inactive,30242,actions:post_engagement,0.17363468,30000,Lifetime,5251.06,67423,62418,2025-07-10,69976,30242,,2025-07-06
2023-04-11,2026-04-09,CBL_Tiara_Rasa_Hara_Yathra_Thalavila_Feast_Awareness_Static_Teaser_01Aug2025,inactive,622656,reach,44.62786836,"Using ad set budget",0,27787.81,790711,622656,2025-08-03,800111,1009,5,2025-08-01
2023-04-11,2026-04-09,CBL_Tiara_Rasa_Hara_Yathra_Thalavila_Feast_Awareness_Photo_Album_01Aug2025,completed,966297,reach,41.21086995,"Using ad set budget",0,39821.94,1124893,966297,2025-08-06,1133551,1959,36,2025-08-02
2023-04-11,2026-04-09,CBL_Tiara_Rasa_Hara_Yathra_Thalavila_Feast_GEO_Awareness_Photo_Album_01Aug2025,completed,448728,reach,44.33928794,20000,Lifetime,19896.28,588042,448728,2025-08-06,591530,1084,13,2025-08-03
2023-04-11,2026-04-09,CBL_Tiara_Rasa_Hara_Yathra_Thalavila_Feast_Awareness_Video_03Aug2025,completed,2869049,reach,52.28213251,150000,Lifetime,150000,3444047,2869049,2025-08-07,3004064,335305,16,2025-08-04
2023-04-11,2026-04-09,CBL_Tiara_Rasa_Hara_Yathra_Thalavila_Feast_GEO_Awareness_Video_03Aug2025,completed,858327,reach,58.24120644,50000,Lifetime,49990,1261596,858327,2025-08-07,1176139,93782,4,2025-08-04
2023-04-11,2026-04-09,CBL_Tiara_Rasa_Hara_Yathra_Kandy_Perahera_Engagement_Call_Static_05Aug2025,inactive,860,actions:click_to_call_native_call_placed,168.39676744,150000,Lifetime,144821.22,1022456,514878,2025-08-07,1028710,12846,9266,2025-08-05
2023-04-11,2026-04-09,CBL_Tiara_Rasa_Hara_Yathra_Kandy_Perahera_Awareness_Static_05Aug2025,inactive,4166806,reach,57.11288455,250000,Lifetime,237978.31,4462869,4166806,2025-08-07,4515872,10119,5866,2025-08-05
2023-04-11,2026-04-09,CBL_Tiara_Rasa_Hara_Yathra_Thalavila_Feast_Awareness_Photo_Album_02_04Aug2025,completed,766649,reach,52.17443706,"Using ad set budget",0,39999.48,1013044,766649,2025-08-07,1015819,2079,14,2025-08-05
2023-04-11,2026-04-09,CBL_Tiara_Rasa_Hara_Yathra_Thalavila_Feast_GEO_Awareness_Photo_Album_02_04Aug2025,completed,386965,reach,51.67524195,20000,Lifetime,19996.51,510142,386965,2025-08-07,510562,3540,6,2025-08-05
2023-04-11,2026-04-09,CBL_Tiara_Rasa_Hara_Yathra_Kandy_Perahera_Awareness_Video_05Aug2025,inactive,2746730,reach,75.60252009,250000,Lifetime,207659.71,3803186,2746730,2025-08-07,3558019,339984,16,2025-08-05
2023-04-11,2026-04-09,CBL_Tiara_Rasa_Hara_Yathra_Kandy_Perahera_Awareness_Carousel_06Aug2025,inactive,2268382,reach,61.57362825,200000,Lifetime,139672.51,2497874,2268382,2025-08-07,2505509,1299,27,2025-08-06
2023-04-11,2026-04-09,CBL_Tiara_Rasa_Hara_Yathra_Kandy_Perahera_Awareness_PhotoAlbum_01_07Aug2025,completed,4577674,reach,76.44217784,350000,Lifetime,349927.37,8081009,4577674,2025-08-24,8140081,58024,369,2025-08-07
2023-04-11,2026-04-09,CBL_Tiara_Rasa_Hara_Yathra_Kandy_Perahera_Engagement_PhotoAlbum_01_07Aug2025,completed,106091,actions:post_engagement,0.94181882,100000,Lifetime,99918.5,843576,608855,2025-08-24,847923,106091,135,2025-08-07
2023-04-11,2026-04-09,CBL_Tiara_Rasa_Hara_Yathra_Kandy_Perahera_Awareness_Video_01_08Aug2025,completed,4263867,reach,93.79457661,400000,Lifetime,399927.6,8420755,4263867,2025-08-24,7409005,1258287,31,2025-08-08
2023-04-11,2026-04-09,CBL_Tiara_Rasa_Hara_Yathra_Kandy_Perahera_Awareness_15Sec_Video_03_08Aug2025,completed,2677404,reach,93.35370755,250000,Lifetime,249945.59,5084588,2677404,2025-08-24,4199901,1037591,35,2025-08-08
2023-04-11,2026-04-09,CBL_Tiara_Rasa_Hara_Yathra_Kandy_Perahera_Awareness_IG_15Sec_Video_03_08Aug2025,completed,986613,reach,101.33743423,100000,Lifetime,99980.83,1732772,986613,2025-08-24,2181869,295003,2,2025-08-08
2023-04-11,2026-04-09,CBL_Tiara_Rasa_Hara_Yathra_Kandy_Perahera_Awareness_PhotoAlbum_02_08Aug2025,completed,6221680,reach,56.25418536,350000,Lifetime,349995.54,6490947,6221680,2025-08-24,6512253,81135,477,2025-08-08
2023-04-11,2026-04-09,CBL_Tiara_Rasa_Hara_Yathra_Kandy_Perahera_Engagement_PhotoAlbum_02_07Aug2025,completed,101579,actions:post_engagement,0.98388427,100000,Lifetime,99941.98,1014619,685725,2025-08-24,1019855,101579,177,2025-08-08
2023-04-11,2026-04-09,CBL_Tiara_Rasa_Hara_Yathra_Kandy_Perahera_Awareness_Video_02_08Aug2025,completed,4033818,reach,99.1546396,400000,Lifetime,399971.77,8003743,4033818,2025-08-24,7217229,1286893,29,2025-08-09
2023-04-11,2026-04-09,CBL_Tiara_Rasa_Hara_Yathra_Kandy_Perahera_Awareness_Video_03_11Aug2025,completed,2441869,reach,81.8361673,200000,Lifetime,199833.2,4176934,2441869,2025-08-17,3763221,815060,777,2025-08-11
2023-04-11,2026-04-09,CBL_Tiara_GoChok_Awareness_Static_Teaser_27Aug2025,completed,1349603,reach,51.86710462,70000,Lifetime,70000,1461953,1349603,2025-08-29,1445764,16556,6,2025-08-27
2023-04-11,2026-04-09,CBL_Tiara_GoChok_Engagement_Static_Teaser_27Aug2025,completed,68774,actions:post_engagement,0.43621136,30000,Lifetime,30000,188710,163522,2025-08-29,243031,68774,1,2025-08-27
2023-04-11,2026-04-09,CBL_Tiara_GoChok_Launch_S_TVC_Awareness_FB_29Aug2025,completed,3553742,reach,140.69622105,500000,Lifetime,499998.07,11800488,3553742,2025-10-14,10601317,921135,37,2025-08-29
2023-04-11,2026-04-09,CBL_Tiara_GoChok_Launch_S_TVC_Engagement_FB_29Aug2025,completed,1554778,actions:post_engagement,0.22510596,350000,Lifetime,349989.79,3872423,1373991,2025-10-14,4016627,1554778,132,2025-08-30
2023-04-11,2026-04-09,CBL_Tiara_GoChok_Launch_S_TVC_Awareness_IG_29Aug2025,completed,1303896,reach,230.06359403,300000,Lifetime,299979,4971244,1303896,2025-10-14,5869545,420669,10,2025-08-30
2023-04-11,2026-04-09,CBL_Tiara_GoChok_Launch_S_TVC_Engagement_IG_29Aug2025,completed,645815,actions:post_engagement,0.20129604,130000,Lifetime,130000,1232085,278417,2025-10-14,2730583,645815,,2025-08-31
2023-04-11,2026-04-09,CBL_Tiara_GoChok_Launch_T_TVC_Awareness_01Sep2025,completed,1056178,reach,85.21271983,90000,Lifetime,89999.8,1219196,1056178,2025-10-14,1070714,124169,5,2025-09-01
