"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,Views,"Post engagements","Link clicks",Starts
2025-09-26,2025-12-14,"Housing Loan | Engagement | LB Finance",completed,1937,actions:onsite_conversion.messaging_conversation_started_7d,41.29951988,"Using ad set budget",0,79997.17,260250,86502,2025-10-25,249051,16958,3607,2025-09-26
2025-09-26,2025-12-14,"Leads | LB Finance",completed,632,actions:leadgen.other,158.22348101,"Using ad set budget",0,99997.24,273222,92663,2025-11-13,274405,3825,3154,2025-10-08
2025-09-26,2025-12-14,"Careers at LB Finance | Reach",completed,1925745,reach,105.05848386,"Using ad set budget",0,202315.85,3306907,1925745,2025-10-24,3317534,5970,1373,2025-10-10
2025-09-26,2025-12-14,"Generic Campaigns | Reach | LB Finance",completed,2950417,reach,104.92517498,"Using ad set budget",0,309573.02,6052419,2950417,2025-10-31,5731438,143102,932,2025-10-13
2025-09-26,2025-12-14,"Gold Loan App Downloands",inactive,,,,"Using ad set budget",0,23131.94,200851,81635,2025-10-22,201812,708,630,2025-10-17
2025-09-26,2025-12-14,"Gold Loan CIM App | Traffic | All Island",completed,31595,actions:link_click,4.00727647,"Using ad set budget",0,126609.9,670457,205424,2025-11-16,810106,31820,31595,2025-10-20
2025-09-26,2025-12-14,"ThruPlays | LB Finance",completed,92161,video_thruplay_watched_actions,0.54250279,"Using ad set budget",0,49997.6,598893,363839,2025-10-28,595099,272601,15,2025-10-21
