"Reporting starts","Reporting ends","Ad set name","Ad set delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,Starts,"Attribution setting",Bid,"Bid type","Last significant edit"
2023-03-08,2026-04-08,"Week 3",completed,1127,actions:offsite_conversion.fb_pixel_view_content,13.30967169,15000,Lifetime,15000,183494,118579,2023-04-18,2023-04-17,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"Week 4",completed,1162,actions:offsite_conversion.fb_pixel_view_content,12.90877797,15000,Lifetime,15000,173312,115807,2023-04-25,2023-04-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"Week 1",completed,607,actions:offsite_conversion.fb_pixel_view_content,16.47446458,10000,Lifetime,10000,100956,66838,2023-04-09,2023-04-08,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"Week 2",completed,609,actions:offsite_conversion.fb_pixel_view_content,16.42036125,10000,Lifetime,10000,128074,95361,2023-04-16,2023-04-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"Week 3",completed,627,actions:offsite_conversion.fb_pixel_view_content,15.94896332,10000,Lifetime,10000,111740,77163,2023-04-23,2023-04-22,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"Week 4",completed,560,actions:offsite_conversion.fb_pixel_view_content,17.85714286,10000,Lifetime,10000,115295,82043,2023-04-30,2023-04-29,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"Week 1",completed,1878,actions:post_engagement,7.98722045,15000,Lifetime,15000,56605,34753,2023-04-09,2023-04-08,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"Week 2",completed,1913,actions:post_engagement,7.8410873,15000,Lifetime,15000,81662,47490,2023-04-16,2023-04-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"Week 3",completed,1711,actions:post_engagement,8.76680304,15000,Lifetime,15000,78093,46787,2023-04-23,2023-04-22,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"Week 4",completed,1778,actions:post_engagement,8.43644544,15000,Lifetime,15000,89788,50232,2023-04-30,2023-04-29,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"Week 1",completed,668,actions:offsite_conversion.fb_pixel_view_content,14.97005988,10000,Lifetime,10000,121639,79764,2023-04-09,2023-04-08,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"Week 2",completed,694,actions:offsite_conversion.fb_pixel_view_content,14.4092219,10000,Lifetime,10000,150085,107008,2023-04-16,2023-04-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"Week 3",completed,695,actions:offsite_conversion.fb_pixel_view_content,14.38848921,10000,Lifetime,10000,146050,105160,2023-04-23,2023-04-22,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"Week 4",completed,720,actions:offsite_conversion.fb_pixel_view_content,13.88888889,10000,Lifetime,10000,127474,90104,2023-04-30,2023-04-29,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"Week 1",completed,962,actions:offsite_conversion.fb_pixel_view_content,10.3950104,10000,Lifetime,10000,110917,73189,2023-04-08,2023-04-07,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"Week 2",completed,635,actions:offsite_conversion.fb_pixel_view_content,15.7480315,10000,Lifetime,10000,148500,102115,2023-04-15,2023-04-14,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"Week 3",completed,872,actions:offsite_conversion.fb_pixel_view_content,11.46788991,10000,Lifetime,10000,132315,90586,2023-04-22,2023-04-21,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"Week 4",completed,727,actions:offsite_conversion.fb_pixel_view_content,13.75515818,10000,Lifetime,10000,126763,92801,2023-04-29,2023-04-28,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,7863,actions:post_engagement,3.81533766,30000,Lifetime,30000,515202,122113,2023-04-30,2023-04-03,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,2468,actions:offsite_conversion.fb_pixel_view_content,6.07779579,15000,Lifetime,15000,165063,67369,2023-04-07,2023-04-03,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,6th,not_delivering,,,,20000,Lifetime,0,0,0,2023-04-06,2023-04-06,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,3387,actions:post_engagement,5.90493062,20000,Lifetime,20000,160503,80955,2023-04-13,2023-04-06,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,13th,not_delivering,1364,actions:offsite_conversion.fb_pixel_view_content,14.6627566,20000,Lifetime,20000,142248,94035,2023-04-13,2023-04-12,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,20th,not_delivering,3135,actions:offsite_conversion.fb_pixel_view_content,6.37958533,20000,Lifetime,20000,178410,111356,2023-04-20,2023-04-19,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,27th,not_delivering,1100,actions:offsite_conversion.fb_pixel_view_content,13.97868182,20000,Lifetime,15376.55,93411,58162,2023-04-28,2023-04-27,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,7th,completed,1181,actions:offsite_conversion.fb_pixel_view_content,15.24132091,18000,Lifetime,18000,213140,146706,2023-04-07,2023-04-07,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,28th,completed,1173,actions:offsite_conversion.fb_pixel_view_content,15.34526854,18000,Lifetime,18000,173431,111968,2023-04-28,2023-04-27,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,8th,completed,2271,actions:post_engagement,8.80669309,20000,Lifetime,20000,87355,53264,2023-04-08,2023-04-07,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
