"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,"Attribution setting"
2023-03-08,2026-04-08,"Union Bank April",not_delivering,2403,actions:offsite_conversion.fb_pixel_view_content,16.64585934,"Using ad set budget",0,40000,456065,235936,2023-04-30,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Com Fresh April 23",not_delivering,7280,actions:post_engagement,8.24175824,"Using ad set budget",0,60000,306148,126195,2023-04-30,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Peoples Apr 23",not_delivering,3196,actions:offsite_conversion.fb_pixel_view_content,12.51564456,"Using ad set budget",0,40000,518495,250263,2023-04-29,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Coffee Coupon",not_delivering,7863,actions:post_engagement,3.81533766,"Using ad set budget",0,30000,515202,122113,2023-04-30,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Weekly Fresh Apr 1st week",not_delivering,2468,actions:offsite_conversion.fb_pixel_view_content,6.07779579,"Using ad set budget",0,15000,165063,67369,2023-04-07,"7-day click or 1-day view"
2023-03-08,2026-04-08,"BOC Fresh Apr 23",not_delivering,2777,actions:offsite_conversion.fb_pixel_view_content,14.40403313,"Using ad set budget",0,40000,545248,273338,2023-04-30,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO 20% online Apr",inactive,5599,actions:offsite_conversion.fb_pixel_view_content,9.89043579,"Using ad set budget",0,55376.55,414069,193755,2023-04-28,"7-day click or 1-day view"
2023-03-08,2026-04-08,"avurudu activation",not_delivering,3387,actions:post_engagement,5.90493062,"Using ad set budget",0,20000,160503,80955,2023-04-13,"7-day click or 1-day view"
2023-03-08,2026-04-08,"HNB April",not_delivering,2354,actions:offsite_conversion.fb_pixel_view_content,15.2931181,"Using ad set budget",0,36000,386571,228163,2023-04-28,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO April",not_delivering,2271,actions:post_engagement,8.80669309,"Using ad set budget",0,20000,87355,53264,2023-04-08,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SCB April",not_delivering,1296,actions:offsite_conversion.fb_pixel_view_content,13.88888889,"Using ad set budget",0,18000,200600,136758,2023-04-10,"7-day click or 1-day view"
2023-03-08,2026-04-08,"HSBC April",not_delivering,2872,actions:post_engagement,6.9637883,"Using ad set budget",0,20000,86023,47148,2023-04-12,"7-day click or 1-day view"
2023-03-08,2026-04-08,"DFCC April",not_delivering,867,actions:offsite_conversion.fb_pixel_view_content,17.30103806,"Using ad set budget",0,15000,174285,114471,2023-04-13,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO 22nd april",not_delivering,2384,actions:post_engagement,12.58389262,"Using ad set budget",0,30000,158317,105345,2023-04-22,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Tea April",not_delivering,1878,actions:offsite_conversion.fb_pixel_view_content,13.31203408,"Using ad set budget",0,25000,262442,76643,2023-04-30,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Beverages April",not_delivering,1826,actions:offsite_conversion.fb_pixel_view_content,13.69112815,"Using ad set budget",0,25000,301131,148113,2023-04-30,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Beverages April 2",not_delivering,2138,actions:offsite_conversion.fb_pixel_view_content,11.69317119,"Using ad set budget",0,25000,257764,116669,2023-04-30,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Chilled April",not_delivering,2073,actions:offsite_conversion.fb_pixel_view_content,12.05981669,"Using ad set budget",0,25000,246933,114953,2023-04-30,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Frozen April",not_delivering,2336,actions:offsite_conversion.fb_pixel_view_content,10.70205479,"Using ad set budget",0,25000,281307,141816,2023-04-30,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Biscuits & Chocs April",not_delivering,2063,actions:offsite_conversion.fb_pixel_view_content,12.11827436,"Using ad set budget",0,25000,279080,114637,2023-04-30,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Biscuits & chocs 2 april",not_delivering,1934,actions:offsite_conversion.fb_pixel_view_content,12.92652534,"Using ad set budget",0,24999.9,254886,68980,2023-04-30,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Budget Pack",not_delivering,484629,actions:post_engagement,0.1031717,"Using ad set budget",0,50000,1003268,421554,2023-05-26,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Free Delivery May",not_delivering,9710,actions:offsite_conversion.fb_pixel_view_content,7.72399588,"Using ad set budget",0,75000,1150006,342282,2023-05-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Sampath Bank May 23",not_delivering,4634,actions:offsite_conversion.fb_pixel_view_content,12.9477773,"Using ad set budget",0,60000,802692,375301,2023-05-29,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO Online 4th May 23",not_delivering,3928,actions:offsite_conversion.fb_pixel_view_content,7.63747454,"Using ad set budget",0,30000,355336,182088,2023-05-04,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO May 6th",not_delivering,1373,actions:post_engagement,10.92498179,"Using ad set budget",0,15000,136013,82086,2023-05-06,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO NDB 6th May",not_delivering,1622,actions:post_engagement,9.24784217,"Using ad set budget",0,15000,113213,74881,2023-05-06,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO ComBank",not_delivering,1484,actions:post_engagement,10.10781671,"Using ad set budget",0,15000,88566,62367,2023-05-06,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Union Bank May",not_delivering,1748,actions:offsite_conversion.fb_pixel_view_content,21.45308924,"Using ad set budget",0,37500,346091,197385,2023-05-28,"7-day click or 1-day view"
2023-03-08,2026-04-08,"People's Bank May 23",not_delivering,2065,actions:offsite_conversion.fb_pixel_view_content,18.1598063,"Using ad set budget",0,37500,282399,138448,2023-05-27,"7-day click or 1-day view"
2023-03-08,2026-04-08,"BOC Fresh May 23",not_delivering,1905,actions:offsite_conversion.fb_pixel_view_content,19.68503937,"Using ad set budget",0,37500,388202,193245,2023-05-28,"7-day click or 1-day view"
2023-03-08,2026-04-08,"NDB Kottu May 23",not_delivering,7691,actions:post_engagement,3.90066311,"Using ad set budget",0,30000,297427,120054,2023-05-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Weekly Fresh May",not_delivering,1886,actions:offsite_conversion.fb_pixel_view_content,7.9533404,"Using ad set budget",0,15000,155757,60171,2023-05-12,"7-day click or 1-day view"
2023-03-08,2026-04-08,"ComBank Fresh May 23",not_delivering,3374,actions:post_engagement,11.85536455,"Using ad set budget",0,40000,234755,85086,2023-05-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO Online 11th May 23",not_delivering,2330,actions:offsite_conversion.fb_pixel_view_content,10.72961373,"Using ad set budget",0,25000,229473,146463,2023-05-11,"7-day click or 1-day view"
2023-03-08,2026-04-08,"DFCC 11th May 23",not_delivering,1364,actions:offsite_conversion.fb_pixel_view_content,14.6627566,"Using ad set budget",0,20000,185265,98646,2023-05-11,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Beverages May 23",not_delivering,2695,actions:offsite_conversion.fb_pixel_view_content,7.42115028,"Using ad set budget",0,20000,290270,91073,2023-05-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Tea & Coffee May 23",not_delivering,2540,actions:offsite_conversion.fb_pixel_view_content,7.87401575,"Using ad set budget",0,20000,313774,100740,2023-05-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Chilled & Frozen May 23",not_delivering,2540,actions:offsite_conversion.fb_pixel_view_content,5.90551181,"Using ad set budget",0,15000,228050,108955,2023-05-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"HNB May 23",not_delivering,2369,actions:offsite_conversion.fb_pixel_view_content,16.8847615,"Using ad set budget",0,40000,333760,160242,2023-05-26,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Grocery 1",not_delivering,2491,actions:offsite_conversion.fb_pixel_view_content,8.02890405,"Using ad set budget",0,20000,245773,81403,2023-05-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Grocery 2 May",not_delivering,2348,actions:offsite_conversion.fb_pixel_view_content,8.5178833,"Using ad set budget",0,19999.99,229929,66759,2023-05-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO 13th May 23",not_delivering,1138,actions:post_engagement,17.57469244,"Using ad set budget",0,20000,82943,65061,2023-05-13,"7-day click or 1-day view"
2023-03-08,2026-04-08,"ComBank  Premium May 23",not_delivering,2374,actions:post_engagement,18.95534962,"Using ad set budget",0,45000,166030,86484,2023-05-27,"7-day click or 1-day view"
2023-03-08,2026-04-08,BBQ,not_delivering,2261,actions:post_engagement,6.63423264,"Using ad set budget",0,15000,52093,39747,2023-05-14,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Grocery 3 May",not_delivering,2546,actions:offsite_conversion.fb_pixel_view_content,7.85545954,"Using ad set budget",0,20000,245594,79429,2023-05-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Kids May 23",not_delivering,2861,actions:offsite_conversion.fb_pixel_view_content,6.99056274,"Using ad set budget",0,20000,220865,65784,2023-05-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Kids may 2",not_delivering,2218,actions:offsite_conversion.fb_pixel_view_content,9.01713255,"Using ad set budget",0,20000,216358,52444,2023-05-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Household May 1",not_delivering,2303,actions:offsite_conversion.fb_pixel_view_content,8.68432479,"Using ad set budget",0,20000,262839,84501,2023-05-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Household May 2",not_delivering,2235,actions:offsite_conversion.fb_pixel_view_content,8.94854586,"Using ad set budget",0,20000,239654,81219,2023-05-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Mother's Day 2023",inactive,103409,actions:post_engagement,0.22932607,"Using ad set budget",0,23714.38,219432,133040,2023-06-30,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO Online 18th May 23",not_delivering,3055,actions:offsite_conversion.fb_pixel_view_content,10.47463175,"Using ad set budget",0,32000,315777,195203,2023-05-18,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO 20th May 23",not_delivering,2243,actions:post_engagement,11.14578689,"Using ad set budget",0,25000,104733,57184,2023-05-20,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Combank 23rd May",not_delivering,1268,actions:offsite_conversion.fb_pixel_view_content,15.77287066,"Using ad set budget",0,20000,194518,135155,2023-05-23,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Kottu Challenge May 23",inactive,2276,actions:post_engagement,3.84288225,"Using ad set budget",0,8746.4,51937,39197,2023-05-25,"7-day click or 1-day view"
2023-03-08,2026-04-08,"NDB Kandy May 23",not_delivering,2443,actions:post_engagement,10.23331969,"Using ad set budget",0,25000,162501,51634,2023-05-28,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO Online 25th May 23",not_delivering,2641,actions:offsite_conversion.fb_pixel_view_content,11.21675502,"Using ad set budget",0,29623.45,259793,158036,2023-05-25,"7-day click or 1-day view"
2023-03-08,2026-04-08,"NTB AMEX May 23",not_delivering,2691,actions:post_engagement,9.29022668,"Using ad set budget",0,25000,99304,56185,2023-05-27,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Fresh Offer 2023",not_delivering,16214,actions:offsite_conversion.fb_pixel_view_content,3.70050574,"Using ad set budget",0,60000,1119588,327500,2023-06-29,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO Promo June 3",not_delivering,2307,actions:post_engagement,8.66926745,"Using ad set budget",0,20000,128911,79207,2023-06-03,"7-day click or 1-day view"
2023-03-08,2026-04-08,"NDB June",not_delivering,2548,actions:post_engagement,7.84929356,"Using ad set budget",0,20000,114778,81500,2023-06-03,"7-day click or 1-day view"
2023-03-08,2026-04-08,"ComBank SLO June",not_delivering,2326,actions:post_engagement,8.59845228,"Using ad set budget",0,20000,77636,54696,2023-06-03,"7-day click or 1-day view"
2023-03-08,2026-04-08,"ComBank Fresh June 23",not_delivering,10762,actions:post_engagement,9.29195317,"Using ad set budget",0,100000,579049,261869,2023-06-28,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Online SLO June",not_delivering,6086,actions:offsite_conversion.fb_pixel_view_content,8.21557673,"Using ad set budget",0,50000,581428,291745,2023-06-15,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Breakfast Rice & Curry",not_delivering,8410,actions:post_engagement,2.97265161,"Using ad set budget",0,25000,301970,150558,2023-06-30,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Tea June 2023",not_delivering,4734,actions:offsite_conversion.fb_pixel_view_content,5.28085129,"Using ad set budget",0,24999.55,474430,122051,2023-06-30,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Baby Care June 2023",not_delivering,4363,actions:offsite_conversion.fb_pixel_view_content,5.73000229,"Using ad set budget",0,25000,378913,118282,2023-06-30,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO June 10th 23",not_delivering,4079,actions:post_engagement,13.16253984,"Using ad set budget",0,53690,376125,218278,2023-06-10,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Commercial Bank SLO",not_delivering,7000,actions:post_engagement,11.42857143,"Using ad set budget",0,80000,406505,238093,2023-06-24,"7-day click or 1-day view"
2023-03-08,2026-04-08,"NDB Kottu Offer June",not_delivering,7849,actions:post_engagement,4.45916677,"Using ad set budget",0,35000,261881,121990,2023-06-30,"7-day click or 1-day view"
2023-03-08,2026-04-08,"UBER Eats",not_delivering,7774,actions:post_engagement,5.14535632,"Using ad set budget",0,40000,233406,104319,2023-06-30,"7-day click or 1-day view"
2023-03-08,2026-04-08,HNB,not_delivering,186,actions:offsite_conversion.fb_pixel_purchase,268.8172043,"Using ad set budget",0,50000,259258,97400,2023-06-30,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO 17th June 23",not_delivering,2895,actions:post_engagement,10.3626943,"Using ad set budget",0,30000,130217,77918,2023-06-17,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Kottu Challenge June 23",inactive,2433,actions:post_engagement,3.26609125,"Using ad set budget",0,7946.4,50076,39549,2023-06-21,"7-day click or 1-day view"
2023-03-08,2026-04-08,"NTB AMEX June 23",inactive,2049,actions:post_engagement,7.33264031,"Using ad set budget",0,15024.58,58783,39213,2023-06-23,"7-day click or 1-day view"
2023-03-08,2026-04-08,"beverages Jun 23",not_delivering,3002,actions:offsite_conversion.fb_pixel_view_content,8.32778148,"Using ad set budget",0,25000,334135,118390,2023-06-30,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Chilled & Frozen Jun 23",not_delivering,3804,actions:offsite_conversion.fb_pixel_view_content,7.88643533,"Using ad set budget",0,30000,421707,125053,2023-06-30,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Frozen Jun 23",not_delivering,4251,actions:offsite_conversion.fb_pixel_view_content,7.05716302,"Using ad set budget",0,30000,410634,204516,2023-06-30,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Chilled & Frozen Jun 23 2",not_delivering,4106,actions:offsite_conversion.fb_pixel_view_content,7.30638091,"Using ad set budget",0,30000,409229,162399,2023-06-30,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO Online 29th Jun 23",not_delivering,2633,actions:offsite_conversion.fb_pixel_view_content,11.39384732,"Using ad set budget",0,30000,331259,236274,2023-06-29,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO Online 6th July 23",not_delivering,3031,actions:offsite_conversion.fb_pixel_view_content,8.24810294,"Using ad set budget",0,25000,355299,251411,2023-07-06,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Beverages July 2023",not_delivering,1589,actions:offsite_conversion.fb_pixel_view_content,6.29326621,"Using ad set budget",0,10000,145878,80163,2023-07-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Tea July 2023",not_delivering,1460,actions:offsite_conversion.fb_pixel_view_content,6.84931507,"Using ad set budget",0,10000,186134,47587,2023-07-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Tea & Milk July 2023",not_delivering,1513,actions:offsite_conversion.fb_pixel_view_content,6.6092267,"Using ad set budget",0,9999.76,183770,43208,2023-07-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Chilled & Frozen July 2023",not_delivering,1562,actions:offsite_conversion.fb_pixel_view_content,6.40204866,"Using ad set budget",0,10000,138479,60087,2023-07-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Yoghurt & Ice Cream July 2023",not_delivering,2269,actions:offsite_conversion.fb_pixel_view_content,4.40722785,"Using ad set budget",0,10000,146127,78943,2023-07-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Cleaning July 2023",not_delivering,1318,actions:offsite_conversion.fb_pixel_view_content,7.58723824,"Using ad set budget",0,9999.98,139711,73621,2023-07-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Household 1 July 2023",not_delivering,1368,actions:offsite_conversion.fb_pixel_view_content,7.30994152,"Using ad set budget",0,10000,181243,58679,2023-07-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Household 2 July 2023",not_delivering,1464,actions:offsite_conversion.fb_pixel_view_content,6.8305123,"Using ad set budget",0,9999.87,140089,36542,2023-07-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Personal Care July 2023",not_delivering,1386,actions:offsite_conversion.fb_pixel_view_content,7.215,"Using ad set budget",0,9999.99,157006,77677,2023-07-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Sanitary & Cologne July 2023",not_delivering,1533,actions:offsite_conversion.fb_pixel_view_content,6.52315721,"Using ad set budget",0,10000,133942,67220,2023-07-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Biscuits July 2023",not_delivering,1456,actions:offsite_conversion.fb_pixel_view_content,6.86785027,"Using ad set budget",0,9999.59,158181,56971,2023-07-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Cookies July 2023",not_delivering,1391,actions:offsite_conversion.fb_pixel_view_content,7.18894321,"Using ad set budget",0,9999.82,139660,39707,2023-07-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Groceries 1 July 2023",not_delivering,1382,actions:offsite_conversion.fb_pixel_view_content,7.23589001,"Using ad set budget",0,10000,212005,103739,2023-07-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Groceries 2 July 2023",not_delivering,1446,actions:offsite_conversion.fb_pixel_view_content,6.91562932,"Using ad set budget",0,10000,141219,66166,2023-07-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Groceries 3 July 2023",not_delivering,1358,actions:offsite_conversion.fb_pixel_view_content,7.36371134,"Using ad set budget",0,9999.92,122096,43236,2023-07-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Jam & Chocolate July 2023",not_delivering,1907,actions:offsite_conversion.fb_pixel_view_content,5.24383849,"Using ad set budget",0,10000,116490,62969,2023-07-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Groceries 5 July 2023",not_delivering,158,actions:offsite_conversion.fb_pixel_view_content,4.87873418,"Using ad set budget",0,770.84,12756,9419,2023-07-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Pasta & Oil July 2023",not_delivering,1445,actions:offsite_conversion.fb_pixel_view_content,6.92041522,"Using ad set budget",0,10000,125804,56204,2023-07-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Spices July 2023",not_delivering,1433,actions:offsite_conversion.fb_pixel_view_content,6.97836008,"Using ad set budget",0,9999.99,146806,40251,2023-07-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Sampath Bank July 2023",not_delivering,5256,actions:offsite_conversion.fb_pixel_view_content,11.41552511,"Using ad set budget",0,60000,823143,432201,2023-07-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Delivery Free July 2023",inactive,7496,actions:offsite_conversion.fb_pixel_view_content,8.65832711,"Using ad set budget",0,64902.82,867069,337419,2023-07-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Mega Pola July 2023",not_delivering,9202,actions:offsite_conversion.fb_pixel_view_content,7.60704195,"Using ad set budget",0,70000,1111527,385671,2023-07-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"ComBank Fresh July 2023",not_delivering,4919,actions:offsite_conversion.fb_pixel_view_content,12.19760114,"Using ad set budget",0,60000,697951,342123,2023-07-26,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Peoples Bank July 2023",not_delivering,2067,actions:offsite_conversion.fb_pixel_view_content,14.5137881,"Using ad set budget",0,30000,341931,175319,2023-07-29,"7-day click or 1-day view"
2023-03-08,2026-04-08,"ComBank Premium July 2023",not_delivering,3195,actions:offsite_conversion.fb_pixel_view_content,14.08450704,"Using ad set budget",0,45000,443652,244728,2023-07-29,"7-day click or 1-day view"
2023-03-08,2026-04-08,"BOC Fresh July 2023",not_delivering,2369,actions:offsite_conversion.fb_pixel_view_content,15.19628535,"Using ad set budget",0,36000,425951,229947,2023-07-30,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Dialog Genie July 2023",not_delivering,1767,actions:offsite_conversion.fb_pixel_view_content,16.97792869,"Using ad set budget",0,30000,341230,197067,2023-07-30,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Union Bank July 2023",not_delivering,1353,actions:offsite_conversion.fb_pixel_view_content,22.172949,"Using ad set budget",0,30000,293688,195439,2023-07-30,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Groceries 4 July 2023",not_delivering,1500,actions:offsite_conversion.fb_pixel_view_content,6.66656667,"Using ad set budget",0,9999.85,143725,43842,2023-07-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Noodles & Soya Meat July 2023",not_delivering,1244,actions:offsite_conversion.fb_pixel_view_content,8.03858521,"Using ad set budget",0,10000,196370,92715,2023-07-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Uber Eats 1 July 2023",not_delivering,2456,actions:post_engagement,4.07166124,"Using ad set budget",0,10000,40297,22864,2023-07-19,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Bread July 2023",not_delivering,2045,actions:offsite_conversion.fb_pixel_view_content,7.33495844,"Using ad set budget",0,14999.99,217001,66903,2023-07-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO Online 13th July",not_delivering,2913,actions:post_engagement,6.86577412,"Using ad set budget",0,20000,84498,54751,2023-07-13,"7-day click or 1-day view"
2023-03-08,2026-04-08,"E-Commerce 1st Post - July 2023",not_delivering,4159,actions:post_engagement,6.01106035,"Using ad set budget",0,25000,165748,82612,2023-07-25,"7-day click or 1-day view"
2023-03-08,2026-04-08,"HNB July 2023",not_delivering,4131,actions:post_engagement,9.6828855,"Using ad set budget",0,40000,209660,133607,2023-07-28,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO Offline 15th July 2023",not_delivering,2199,actions:post_engagement,9.0950432,"Using ad set budget",0,20000,74770,50168,2023-07-15,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO Online 20th July 2023",not_delivering,2636,actions:post_engagement,7.58725341,"Using ad set budget",0,20000,85065,54343,2023-07-20,"7-day click or 1-day view"
2023-03-08,2026-04-08,"NTB Amex 21st July 2023",not_delivering,2420,actions:post_engagement,8.26446281,"Using ad set budget",0,20000,73037,44244,2023-07-21,"7-day click or 1-day view"
2023-03-08,2026-04-08,"PickMe Market July 2023",not_delivering,2921,actions:post_engagement,6.84697022,"Using ad set budget",0,20000,63819,37547,2023-07-27,"7-day click or 1-day view"
2023-03-08,2026-04-08,"NDB 22nd July 2023",not_delivering,2455,actions:post_engagement,8.14663951,"Using ad set budget",0,20000,65803,44761,2023-07-22,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Kottu Challenge July 2023",inactive,4872,actions:post_engagement,3.07881773,"Using ad set budget",0,15000,124499,75297,2023-07-25,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO Offline 22nd July 2023",not_delivering,2077,actions:post_engagement,9.62927299,"Using ad set budget",0,20000,72362,42035,2023-07-22,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Uber Eats 2 July 2023",not_delivering,120443,actions:post_engagement,0.12454024,"Using ad set budget",0,15000,221925,159616,2023-07-30,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SCB July 2023",not_delivering,2429,actions:post_engagement,8.23384109,"Using ad set budget",0,20000,66545,44498,2023-07-29,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO Online 27th July 2023",not_delivering,2413,actions:post_engagement,8.28843763,"Using ad set budget",0,20000,83037,56873,2023-07-27,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO Offline 29th July 2023",not_delivering,2062,actions:post_engagement,9.69932105,"Using ad set budget",0,20000,80153,57937,2023-07-29,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Friendship Day 2023",not_delivering,138807,actions:post_engagement,0.21612743,"Using ad set budget",0,30000,217489,159828,2023-08-06,"7-day click or 1-day view"
2023-03-08,2026-04-08,"PickMe Food Offer 1 - August 2023",not_delivering,3313,actions:post_engagement,3.77301539,"Using ad set budget",0,12500,96437,55579,2023-08-10,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Delivery Free - August 2023",not_delivering,9071,actions:post_engagement,5.60129313,"Using ad set budget",0,50809.33,246024,93772,2023-08-30,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Mega Pola August 2023",not_delivering,13775,actions:post_engagement,7.25952813,"Using ad set budget",0,100000,1027273,330434,2023-08-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"ComBank Fresh August 2023",not_delivering,9657,actions:post_engagement,7.76638708,"Using ad set budget",0,75000,454935,204641,2023-08-30,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO Online 3rd August 2023",not_delivering,2534,actions:post_engagement,6.31412786,"Using ad set budget",0,16000,76194,51202,2023-08-03,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Tea & Coffee Aug 2023",not_delivering,4203,actions:offsite_conversion.fb_pixel_view_content,4.75850583,"Using ad set budget",0,20000,361551,85894,2023-08-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Chilled & Frozen Aug 2023",not_delivering,6855,actions:offsite_conversion.fb_pixel_view_content,4.37636761,"Using ad set budget",0,30000,488880,175273,2023-08-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Biscuits Aug 2023",not_delivering,2780,actions:offsite_conversion.fb_pixel_view_content,3.59708273,"Using ad set budget",0,9999.89,138588,51742,2023-08-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Noodles & Soya Meat Aug 2023",not_delivering,2479,actions:offsite_conversion.fb_pixel_view_content,4.03388463,"Using ad set budget",0,10000,139188,48040,2023-08-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Sauces Aug 2023",not_delivering,2876,actions:offsite_conversion.fb_pixel_view_content,3.47705146,"Using ad set budget",0,10000,164012,70228,2023-08-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Grocery 1 - Aug 2023",not_delivering,2788,actions:offsite_conversion.fb_pixel_view_content,3.5867934,"Using ad set budget",0,9999.98,148259,60827,2023-08-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Cleaning Aug 2023",not_delivering,2230,actions:offsite_conversion.fb_pixel_view_content,4.48430493,"Using ad set budget",0,10000,157136,43471,2023-08-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SCB August 2023",not_delivering,4243,actions:post_engagement,7.07046901,"Using ad set budget",0,30000,147385,73877,2023-08-26,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Seylan August 2023",inactive,3334,actions:post_engagement,6.83622376,"Using ad set budget",0,22791.97,156777,76571,2023-08-26,"7-day click or 1-day view"
