"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,"Attribution setting"
2023-03-08,2026-04-08,"October Traffic Ads | 2024",completed,,,,"Using ad set budget",0,19991.55,72288,36385,2024-11-15,"7-day click or 1-day view"
2023-03-08,2026-04-08,"November Conversion Ads | 2024",completed,386,actions:offsite_conversion.fb_pixel_purchase,474.29823834,"Using ad set budget",0,183079.12,710874,184027,2024-12-16,"7-day click or 1-day view"
2023-03-08,2026-04-08,"November Engagement Ads | 2024",completed,,,,"Using ad set budget",0,115586.04,528358,316964,2024-11-30,"7-day click or 1-day view"
2023-03-08,2026-04-08,"November Traffic Ads | 2024",completed,2222,actions:link_click,5.79085509,"Using ad set budget",0,12867.28,130554,61315,2024-11-27,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Loyalty & Non Loyalty | Conversion | November | 2024",completed,15,actions:offsite_conversion.fb_pixel_purchase,992.11666667,3500,Daily,14881.75,38922,9532,2024-11-15,"7-day click or 1-day view"
2023-03-08,2026-04-08,"December Awareness Ads | 2024",not_delivering,3119865,reach,174.17576402,"Using ad set budget",0,543404.87,12218222,3119865,2025-01-11,"7-day click or 1-day view"
2023-03-08,2026-04-08,"December Traffic Ads | 2024",completed,4769,actions:link_click,10.48437828,"Using ad set budget",0,50000,324447,178181,2024-12-23,"7-day click or 1-day view"
2023-03-08,2026-04-08,"December Bank Promo Awareness Ads | 2024",completed,700677,reach,121.31124612,85000,Lifetime,85000,1712479,700677,2024-12-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Big Sale | Awareness | December | 2024",completed,2095369,reach,88.28993843,185000,Lifetime,185000,3669125,2095369,2024-12-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"January Conversion Ads | 2025",completed,,,,"Using ad set budget",0,322187.3,1031017,148304,2025-02-08,"Multiple attribution settings"
2023-03-08,2026-04-08,"Loyalty & Non Loyalty | Conversion | January | 2025",completed,120,actions:offsite_conversion.fb_pixel_purchase,550.98241667,3500,Daily,66117.89,169750,22932,2025-01-31,"7-day click, 1-day view or 1-day engaged view"
2023-03-08,2026-04-08,"August Engagement Ads | 2025",completed,7639,actions:post_engagement,4.88198324,"Using ad set budget",0,37293.47,93984,39485,2025-08-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"January - Glo Tuesday",completed,158,actions:offsite_conversion.fb_pixel_purchase,379.21158228,"Using ad set budget",0,59915.43,263641,65273,2026-01-27,"7-day click, 1-day view or 1-day engaged view"
2023-03-08,2026-04-08,"January - Glo Tuesday [06/02] - Traffic",completed,525,actions:omni_landing_page_view,9.25331429,"Using ad set budget",0,4857.99,19213,11017,2026-01-06,"7-day click or 1-day view"
2023-03-08,2026-04-08,"January - Mega Pola [12/01]",completed,33,actions:offsite_conversion.fb_pixel_purchase,448.6169697,"Using ad set budget",0,14804.36,53490,27423,2026-01-26,"7-day click, 1-day view or 1-day engaged view"
2023-03-08,2026-04-08,"February - Mega Pola [2026]",completed,58,actions:offsite_conversion.fb_pixel_purchase,438.17862069,"Using ad set budget",0,25414.36,83039,31543,2026-02-19,"7-day click, 1-day view or 1-day engaged view"
2023-03-08,2026-04-08,"Valentines Week - February - 2026",completed,73,actions:offsite_conversion.fb_pixel_purchase,272.50753425,"Using ad set budget",0,19893.05,90592,34186,2026-02-15,"7-day click, 1-day view or 1-day engaged view"
2023-03-08,2026-04-08,"March 3.3",completed,,,,"Using ad set budget",0,26707.33,104056,38462,2026-03-07,"Multiple attribution settings"
2023-03-08,2026-04-08,"Dialog Genie | Awareness | August 2024",completed,559201,reach,35.90685639,"Using ad set budget",0,20079.15,586105,559201,2024-08-09,"7-day click or 1-day view"
2023-03-08,2026-04-08,"GLOMARK KKC | Leads | 2024",completed,130,actions:leadgen.other,76.92307692,"Using ad set budget",0,10000,68364,41452,2024-08-10,"7-day click or 1-day view"
2023-03-08,2026-04-08,"D2D Contents | Awareness | August 2024",completed,546071,reach,50.35975175,"Using ad set budget",0,27500,642760,546071,2024-08-31,"7-day click or 1-day view"
