"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,Views,"Post engagements","Link clicks",Starts
2025-06-06,2026-02-17,"Reach | Robbialac",not_delivering,4795818,reach,140.10486428,"Using ad set budget",0,671917.43,19016853,4795818,2026-01-20,18990357,38790,1091,2025-06-06
2025-06-06,2026-02-17,"Engagement | Robbialac",not_delivering,,,,"Using ad set budget",0,600414.61,2971691,750072,2026-01-20,2949463,417845,1085,2025-06-06
2025-06-06,2026-02-17,"Video Views | Robbialac | 2- Sec",not_delivering,916548,video_continuous_2_sec_watched_actions,0.17973237,"Using ad set budget",0,164733.34,2645695,881797,2025-11-30,2686937,603345,184,2025-06-18
2025-06-06,2026-02-17,"FB Page Likes | Robbialac",not_delivering,26579,actions:like,32.46779337,"Using ad set budget",0,862961.48,8736082,1330026,2026-01-07,8742908,37153,3529,2025-08-06
2025-06-06,2026-02-17,"Video Views | Robbialac | ThruPlays",completed,278885,video_thruplay_watched_actions,0.64509321,"Using ad set budget",0,179906.82,580800,360154,2026-01-03,575628,360646,254,2025-12-15
