"Reporting starts","Reporting ends","Ad set name","Ad set delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,Starts,"Attribution setting",Bid,"Bid type","Last significant edit","Post engagements"
2023-04-11,2026-04-08,"Aug - Cakery 02 FB",inactive,193689,reach,21.79225459,5000,Lifetime,4220.92,193689,193689,2025-01-07,2025-01-03,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,69
2023-04-11,2026-04-08,"Aug - Cakery 02 IG",inactive,141872,reach,29.79326435,5000,Lifetime,4226.83,141872,141872,2025-01-07,2025-01-03,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,42
2023-04-11,2026-04-08,"Children's day - FB",inactive,224786,reach,26.69205378,6000,Lifetime,6000,227538,224786,2024-10-01,2024-10-01,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2024-10-01T15:48:54+0530,1045
2023-04-11,2026-04-08,"Children's day - IG",inactive,118445,reach,50.65642281,6000,Lifetime,6000,118445,118445,2024-10-01,2024-10-01,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,84
2023-04-11,2026-04-08,"Oct product 01 - FB",inactive,1791,actions:post_engagement,3.35008375,6000,Lifetime,6000,29153,22626,2024-10-06,2024-10-04,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2024-10-04T17:58:28+0530,1791
2023-04-11,2026-04-08,"Oct product 01 - IG",inactive,1741,actions:post_engagement,3.43059736,6000,Lifetime,5972.67,19581,15431,2024-10-06,2024-10-04,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,1741
2023-04-11,2026-04-08,"Teacher's day - FB",inactive,163655,reach,29.07842718,5000,Lifetime,4758.83,170891,163655,2024-10-06,2024-10-06,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2024-10-06T12:19:43+0530,113
2023-04-11,2026-04-08,"Teacher's day - IG",inactive,106462,reach,41.34583232,5000,Lifetime,4401.76,109367,106462,2024-10-06,2024-10-06,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,64
2023-04-11,2026-04-08,"Sep Product 05 - FB",inactive,167644,reach,29.82510558,5000,Lifetime,5000,168909,167644,2024-10-09,2024-10-07,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,6602
2023-04-11,2026-04-08,"Sep Product 05 - IG",inactive,126777,reach,39.43933048,5000,Lifetime,5000,129202,126777,2024-10-09,2024-10-07,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,3809
