"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,Views,"Post engagements","Link clicks",Starts
2025-07-17,2025-10-28,"FinTech: Reach",not_delivering,22363236,reach,32.17326151,"Using ad set budget",0,719498.24,39659331,22363236,2025-09-30,40779860,29761,15631,2025-07-17
2025-07-17,2025-10-28,"FinTech: Video Views",not_delivering,,,,"Using ad set budget",0,679633.4,14492083,4490692,2025-09-30,13886825,3364892,4895,2025-07-17
2025-07-17,2025-10-28,"FinTech: Engagement",not_delivering,16779,actions:post_engagement,0.2963502,"Using ad set budget",0,4972.46,41062,30229,2025-07-20,41685,16779,131,2025-07-17
2025-07-17,2025-10-28,"FinTech: FB Page Likes",not_delivering,3502,actions:like,28.55505997,"Using ad set budget",0,99999.82,967043,221990,2025-08-10,968238,1838,360,2025-07-19
2025-07-17,2025-10-28,"FinTech: IG Followers",not_delivering,3752,profile_visit_view,13.32295576,"Using ad set budget",0,49987.73,459750,132303,2025-08-10,461329,4508,4194,2025-07-20
2025-07-17,2025-10-28,"Rejected Ads",not_delivering,114181,video_continuous_2_sec_watched_actions,0.17516049,"Using ad set budget",0,20000,297675,243767,2025-09-26,296345,80810,2,2025-09-25
